"year","make","model","mileage","normalized_color","transmission","sold_price","bid_amount","end_date","bidders","watchers","comments","status"
"1977","Porsche","911S Coupe Sportomatic","79000","Silver","manual","64000","64000","2025-01-07 05:00:00","30","852","57","sold"
"2011","Porsche","911 Carrera GTS 6-Speed","40000","White","manual","113250","113250","2024-12-24 05:00:00","27","1437","65","sold"
"1986","Porsche","911 Carrera Targa","38000","Red","manual","79911","79911","2024-12-24 05:00:00","25","1135","40","sold"
"2003","Porsche","911 Carrera Coupe 6-Speed","59000","Silver","manual","33250","33250","2024-12-24 05:00:00","19","782","66","sold"
"2022","Porsche","718 Spyder 6-Speed","7000","Blue","manual","123000","123000","2024-12-24 05:00:00","14","1003","63","sold"
"2021","Porsche","718 Boxster S","20000","Gray","automatic","63000","63000","2024-12-24 05:00:00","45","872","33","sold"
"2019","Porsche","911 GT3 RS Weissach","576","Green","automatic","null","259000","2024-12-24 05:00:00","16","1189","48","unsold"
"1986","Porsche","911 Turbo DP 935","5100","Orange","manual","182000","182000","2024-12-24 05:00:00","31","1246","85","sold"
"1969","Porsche","912 Coupe 5-Speed","75000","Blue","manual","66912","66912","2025-01-05 05:00:00","21","1859","73","sold"
"2015","Porsche","Cayenne Diesel","47000","Blue","automatic","40250","40250","2025-01-04 05:00:00","32","778","57","sold"
"1987","Porsche","911 Carrera Coupe G50","35000","Black","manual","88000","88000","2025-01-04 05:00:00","29","2802","79","sold"
"2016","Porsche","Cayman GT4","11000","Blue","manual","88911","88911","2025-01-03 05:00:00","18","1113","76","sold"
"2012","Porsche","911 Turbo S Cabriolet","93000","Blue","automatic","69000","69000","2025-01-03 05:00:00","36","1234","78","sold"
"2024","Porsche","911 GT3 Touring 6-Speed","216","Black","manual","284000","284000","2025-01-03 05:00:00","28","1815","76","sold"
"2013","Porsche","Cayenne Diesel","81000","White","automatic","24000","24000","2025-01-03 05:00:00","36","651","37","sold"
"2000","Porsche","911 Carrera 4 Cabriolet 6-Speed","87000","Silver","manual","22500","22500","2025-01-03 05:00:00","11","572","9","sold"
"2018","Porsche","911 GT2 RS Weissach","168","Blue","automatic","593000","593000","2025-01-03 05:00:00","54","2606","293","sold"
"1996","Porsche","911 Carrera 4 Coupe 6-Speed","68000","Black","manual","89000","89000","2025-01-03 05:00:00","26","1812","36","sold"
"1986","Porsche","911 Carrera Coupe","124000","Black","manual","210000","210000","2025-01-02 05:00:00","55","2013","98","sold"
"1959","Porsche","356A Sunroof Coupe","82000","Silver","manual","140000","140000","2025-01-02 05:00:00","26","1974","73","sold"
"1995","Porsche","911 Carrera Coupe 6-Speed","115000","Blue","manual","91000","91000","2025-01-02 05:00:00","13","1267","37","sold"
"1965","Porsche","356C Coupe","32000","Black","manual","64500","64500","2025-01-02 05:00:00","34","1851","48","sold"
"1976","Porsche","911S Coupe","86000","Red","manual","45000","45000","2025-01-02 05:00:00","20","1225","51","sold"
"1983","Porsche","928S","6000","Gray","automatic","4700","4700","2025-01-02 05:00:00","19","796","46","sold"
"2002","Porsche","911 Carrera Coupe 6-Speed","70000","Blue","manual","26250","26250","2025-01-02 05:00:00","29","1042","53","sold"
"1982","Porsche","911SC Coupe G50 Backdate by Rennline","2900","White","manual","135000","135000","2025-01-02 05:00:00","39","1861","102","sold"
"2000","Porsche","911 Carrera 4 Cabriolet 6-Speed","50000","Silver","manual","null","30000","2025-01-02 05:00:00","38","923","77","unsold"
"2000","Porsche","911 Carrera Coupe 6-Speed","43000","Silver","manual","24250","24250","2025-01-02 05:00:00","22","1047","40","sold"
"1987","Porsche","944 5-Speed","59000","Red","manual","17000","17000","2024-12-31 05:00:00","36","946","39","sold"
"2014","Porsche","Boxster","102000","Silver","automatic","20250","20250","2024-12-31 05:00:00","20","668","22","sold"
"2014","Porsche","Cayenne Turbo S","95000","Black","automatic","36050","36050","2024-12-31 05:00:00","45","889","47","sold"
"2002","Porsche","911 Carrera Coupe 6-Speed","64000","Silver","manual","26000","26000","2024-12-31 05:00:00","29","1120","17","sold"
"1993","Porsche","911 America Roadster","155000","Red","automatic","95000","95000","2024-12-31 05:00:00","64","1367","91","sold"
"1984","Porsche","911 Carrera Targa","51000","Red","manual","78500","78500","2024-12-31 05:00:00","50","1536","72","sold"
"2021","Porsche","718 Cayman GTS 4.0","21000","Silver","automatic","79000","79000","2024-12-31 05:00:00","16","1402","59","sold"
"2007","Porsche","911 Turbo Coupe 6-Speed","20000","Silver","manual","125000","125000","2024-12-31 05:00:00","28","1691","73","sold"
"2007","Porsche","Cayman 5-Speed","39000","Red","manual","24000","24000","2024-12-30 05:00:00","24","930","46","sold"
"2010","Porsche","Panamera S","36000","Black","automatic","22000","22000","2024-12-30 05:00:00","29","737","24","sold"
"1986","Porsche","944 Turbo","78000","Red","manual","38000","38000","2024-12-30 05:00:00","33","1245","55","sold"
"1987","Porsche","944S 5-Speed Track Car for Charity","78000","Gray","manual","15944","15944","2024-12-30 05:00:00","29","654","51","sold"
"1997","Porsche","911 Carrera Targa 6-Speed","48000","Red","manual","null","92000","2024-12-30 05:00:00","21","1004","53","unsold"
"1987","Porsche","924S 5-Speed","27000","Red","manual","12500","12500","2024-12-30 05:00:00","44","666","36","sold"
"2011","Porsche","Cayenne Turbo","44000","White","automatic","null","23250","2024-12-30 05:00:00","18","705","30","unsold"
"2024","Porsche","911 GT3 6-Speed","282","Gray","manual","266000","266000","2024-12-30 05:00:00","21","1535","34","sold"
"2015","Porsche","911 Carrera S Coupe","13000","White","automatic","74000","74000","2024-12-30 05:00:00","24","1215","23","sold"
"2000","Porsche","911 Carrera Coupe 6-Speed","91000","Silver","manual","22000","22000","2024-12-30 05:00:00","24","753","28","sold"
"2014","Porsche","911 Carrera S Cabriolet","140000","Silver","automatic","null","33300","2024-12-30 05:00:00","18","717","21","unsold"
"2014","Porsche","Cayenne Diesel Platinum Edition","82000","Black","automatic","26250","26250","2024-12-30 05:00:00","24","861","42","sold"
"2020","Porsche","718 Cayman GT4 6-Speed","14000","White","manual","127000","127000","2024-12-30 05:00:00","15","1437","62","sold"
"1992","Porsche","911 Carrera RS","57000","Blue","manual","315000","315000","2024-12-30 05:00:00","34","2330","143","sold"
"2014","Porsche","Panamera 4S Executive","73000","Black","automatic","29500","29500","2024-12-29 05:00:00","38","790","28","sold"
"2006","Porsche","911 Carrera 4S Cabriolet X51 6-Speed","39000","Gray","manual","65000","65000","2024-12-29 05:00:00","32","1372","52","sold"
"1977","Porsche","911S Targa 5-Speed","50000","Brown","manual","73500","73500","2024-12-29 05:00:00","44","1012","61","sold"
"2014","Porsche","911 Carrera 4S Coupe","81000","Black","automatic","59500","59500","2024-12-29 05:00:00","47","1463","33","sold"
"2002","Porsche","Boxster 5-Speed","73000","Gray","manual","15000","15000","2024-12-29 05:00:00","33","630","57","sold"
"2014","Porsche","911 Carrera S Coupe 7-Speed","57000","Gray","manual","75500","75500","2024-12-28 05:00:00","33","1276","92","sold"
"2013","Porsche","Cayenne Diesel","129000","Gray","automatic","20500","20500","2024-12-28 05:00:00","30","780","43","sold"
"1959","Porsche","356A Cabriolet","17000","Ivory","manual","151000","151000","2024-12-28 05:00:00","49","1854","86","sold"
"2007","Porsche","911 Carrera S Cabriolet 6-Speed","80000","White","manual","32600","32600","2024-12-28 05:00:00","32","736","27","sold"
"1994","Porsche","911 Turbo 3.6","33000","Black","manual","375000","375000","2024-12-28 05:00:00","20","2337","101","sold"
"2016","Porsche","Cayenne S","64000","Silver","automatic","34250","34250","2024-12-27 05:00:00","35","776","43","sold"
"1992","Porsche","911 Race Car","null","White","manual","72000","72000","2024-12-27 05:00:00","11","951","70","sold"
"1993","Porsche","928 GTS","5000","Black","automatic","40000","40000","2024-12-27 05:00:00","5","1211","47","sold"
"2009","Porsche","911 Carrera S Coupe 6-Speed","54000","Brown","manual","63500","63500","2024-12-27 05:00:00","14","1388","74","sold"
"2015","Porsche","Cayman GTS 6-Speed","17000","Silver","manual","73277","73277","2024-12-27 05:00:00","24","1146","63","sold"
"2008","Porsche","911 Carrera 4 Coupe","88000","Gray","automatic","37000","37000","2024-12-27 05:00:00","44","1162","66","sold"
"1976","Porsche","930 Turbo Carrera","312","Silver","manual","224000","224000","2024-12-27 05:00:00","44","2021","103","sold"
"2014","Porsche","Cayenne Diesel","110000","Silver","automatic","null","12150","2024-12-27 05:00:00","21","492","22","unsold"
"1993","Porsche","968 Club Sport","47000","Blue","manual","80000","80000","2024-12-27 05:00:00","32","1502","79","sold"
"2018","Porsche","911 GT3","19000","Blue","automatic","169000","169000","2024-12-27 05:00:00","38","1812","152","sold"
"1976","Porsche","914 2.0","80000","Beige","manual","20500","20500","2024-12-27 05:00:00","7","868","29","sold"
"2001","Porsche","911 Carrera Coupe 6-Speed","35000","Blue","manual","35000","35000","2024-12-27 05:00:00","27","918","49","sold"
"1996","Porsche","911 Carrera 4S 6-Speed","61000","Gray","manual","200000","200000","2024-12-27 05:00:00","44","2111","100","sold"
"1975","Porsche","911 Carrera Coupe","87000","Purple","manual","166000","166000","2024-12-27 05:00:00","44","1606","122","sold"
"2019","Porsche","911 Speedster","151","Silver","manual","430000","430000","2024-12-27 05:00:00","40","1800","93","sold"
"2007","Porsche","911 GT3 RS","11000","Silver","manual","187500","187500","2024-12-26 05:00:00","49","1429","106","sold"
"2018","Porsche","Macan GTS","50000","White","automatic","31750","31750","2024-12-26 05:00:00","41","824","51","sold"
"2015","Porsche","Panamera Turbo","6000","Black","automatic","52000","52000","2024-12-26 05:00:00","12","713","17","sold"
"2007","Porsche","911 Turbo Coupe","87000","Blue","automatic","68500","68500","2024-12-26 05:00:00","32","1396","46","sold"
