"year","make","model","mileage","normalized_color","transmission","sold_price","bid_amount","end_date","bidders","watchers","comments","status"
"2004","BMW","M3 Coupe 6-Speed","121000","Green","manual","32500","32500","2022-07-30 04:00:00","31","1054","79","sold"
"2013","BMW","135is","14000","White","automatic","30269","30269","2022-07-30 04:00:00","18","439","41","sold"
"1974","BMW","3.0CS 5-Speed","2900","Green","manual","78277","78277","2022-07-29 04:00:00","40","1162","77","sold"
"2005","BMW","M3 Coupe 6-Speed","45000","Red","manual","41546","41546","2022-07-29 04:00:00","22","865","61","sold"
"1981","BMW","Alpina B9 3.5 5-Speed","182000","Gray","manual","null","62530","2022-07-29 04:00:00","11","472","95","unsold"
"1989","BMW","325i Convertible","89000","Blue","automatic","null","13250","2022-07-29 04:00:00","26","401","34","unsold"
"2007","BMW","Z4 3.0si Roadster 6-Speed","41000","Black","manual","19750","19750","2022-07-29 04:00:00","30","599","42","sold"
"1974","BMW","2002 Turbo 5-Speed","62000","White","manual","null","83002","2022-07-29 04:00:00","17","1455","102","unsold"
"2004","BMW","R1100S BoxerCup Replika","19000","White","automatic","9600","9600","2022-07-29 04:00:00","32","582","53","sold"
"1972","BMW","3.0 CSL","38000","Brown","manual","225000","225000","2022-07-29 04:00:00","16","1676","91","sold"
"1989","BMW","325is","30000","Gray","automatic","15600","15600","2022-07-28 04:00:00","50","794","67","sold"
"2004","BMW","325xi Sports Wagon","88000","Gray","automatic","20000","20000","2022-07-28 04:00:00","35","585","39","sold"
"2001","BMW","M5","125000","Black","manual","26500","26500","2022-07-28 04:00:00","24","588","29","sold"
"2002","BMW","Z8","22000","Black","manual","181007","181007","2022-07-28 04:00:00","48","1089","103","sold"
"2001","BMW","M3 Convertible 6-Speed","89000","Red","manual","20000","20000","2022-07-28 04:00:00","32","779","44","sold"
"2002","BMW","M Coupe S54","53000","Black","manual","51500","51500","2022-07-28 04:00:00","15","687","38","sold"
"1988","BMW","M3","58000","Red","manual","56000","56000","2022-07-28 04:00:00","24","759","36","sold"
"2006","BMW","330Ci Convertible","34000","White","automatic","27250","27250","2022-07-27 04:00:00","34","492","39","sold"
"2008","BMW","M5","50000","Black","automatic","27250","27250","2022-07-27 04:00:00","16","400","48","sold"
"1997","BMW","Z3 2.8 5-Speed","34000","Green","manual","15500","15500","2022-07-27 04:00:00","36","475","40","sold"
"2001","BMW","325i Sport Wagon 6-Speed","214000","Gray","manual","40000","40000","2022-07-27 04:00:00","65","937","90","sold"
"1996","BMW","328i Convertible","68000","Silver","automatic","6900","6900","2022-07-27 04:00:00","33","332","47","sold"
"2002","BMW","M5","42000","Black","manual","55499","55499","2022-07-27 04:00:00","22","693","73","sold"
"1981","BMW","Alpina B9 3.5 5-Speed","182000","Gray","manual","null","50500","2022-07-27 04:00:00","26","1214","234","unsold"
"2003","BMW","330i Sedan","5400","Blue","automatic","25492","25492","2022-07-27 04:00:00","19","407","34","sold"
"1980","BMW","M1","30000","Black","manual","605000","605000","2022-07-27 04:00:00","21","3840","397","sold"
"2012","BMW","M3 Coupe Competition Package","31000","Red","automatic","null","36500","2022-07-26 04:00:00","39","579","18","unsold"
"1986","BMW","M3","116000","Gray","manual","65000","65000","2022-07-26 04:00:00","31","1007","24","sold"
"1984","Porsche","944 5-Speed","49000","Red","manual","null","10550","2024-02-08 05:00:00","11","595","50","unsold"
"2018","BMW","M5","16000","Blue","automatic","null","72500","2022-07-26 04:00:00","19","331","32","unsold"
"2006","BMW","M6 Coupe","33000","Black","automatic","25250","25250","2022-07-26 04:00:00","22","632","22","sold"
"2020","BMW","M2 Competition 6-Speed","5000","Orange","manual","65055","65055","2022-07-26 04:00:00","16","587","39","sold"
"2003","BMW","540i M Sport 6-Speed","119000","Black","manual","15100","15100","2022-07-26 04:00:00","26","558","33","sold"
"1976","BMW","R90/6","54000","Black","manual","4500","4500","2022-07-26 04:00:00","12","558","28","sold"
"1998","BMW","M3 Convertible","19000","Red","automatic","28750","28750","2022-07-26 04:00:00","41","472","28","sold"
"1991","BMW","M5","141000","White","manual","21000","21000","2022-07-26 04:00:00","20","684","39","sold"
"1976","BMW","2002","7000","Green","manual","null","26250","2022-07-26 04:00:00","38","1091","27","unsold"
"1995","BMW","540i M Sport 6-Speed","58000","Silver","manual","20500","20500","2022-07-25 04:00:00","17","536","31","sold"
"2008","BMW","Z4 3.0i Roadster","62000","Green","automatic","26000","26000","2022-07-25 04:00:00","39","469","51","sold"
"1973","BMW","2002tii","15000","Red","manual","35000","35000","2022-07-25 04:00:00","41","1511","110","sold"
"2002","BMW","M3 Convertible","36000","Silver","automatic","null","26151","2022-07-25 04:00:00","41","584","51","unsold"
"1988","BMW","535is 5-Speed","161000","Silver","manual","11000","11000","2022-07-25 04:00:00","20","734","79","sold"
"2003","BMW","M5 Dinan S3","56000","Silver","manual","104000","104000","2022-07-25 04:00:00","46","929","273","sold"
"1996","BMW","Z3 1.9 5-Speed","38000","Green","manual","12666","12666","2022-07-12 04:00:00","13","517","42","sold"
"2012","BMW","M3 Coupe Competition Package 6-Speed","28000","White","manual","45500","45500","2022-07-23 04:00:00","23","738","30","sold"
"2007","BMW","M5 6-Speed","113000","Silver","manual","29001","29001","2022-07-23 04:00:00","20","587","54","sold"
"2000","BMW","M Roadster","83000","Blue","manual","21750","21750","2022-07-23 04:00:00","23","747","37","sold"
"2013","BMW","M3 Coupe Frozen Edition","92000","White","automatic","32500","32500","2022-07-22 04:00:00","22","479","29","sold"
"2010","BMW","535i xDrive Sports Wagon","65000","Gray","automatic","21775","21775","2022-07-22 04:00:00","46","456","29","sold"
"1999","BMW","M Coupe","81000","Silver","manual","29250","29250","2022-07-22 04:00:00","26","736","17","sold"
"1992","BMW","325i Convertible","150000","White","automatic","9000","9000","2022-07-22 04:00:00","22","506","23","sold"
"2009","BMW","Z4 sDrive30i","16000","Gray","automatic","30000","30000","2022-07-22 04:00:00","26","381","26","sold"
"2006","BMW","M3 Coupe Competition Package 6-Speed","101000","Gray","manual","34000","34000","2022-07-22 04:00:00","18","1027","50","sold"
"2006","BMW","M3 Coupe 6-Speed","72000","Gray","manual","null","33346","2022-07-22 04:00:00","18","673","48","unsold"
"1972","BMW","R75/5","44000","Brown","manual","9300","9300","2022-07-22 04:00:00","19","468","53","sold"
"2002","BMW","530i Sport 5-Speed","61000","Blue","manual","21750","21750","2022-07-22 04:00:00","30","580","66","sold"
"1989","BMW","325iX Sedan","78000","White","automatic","null","20000","2022-07-22 04:00:00","32","514","41","unsold"
"1974","BMW","2002 Turbo","60000","White","manual","154006","154006","2022-07-22 04:00:00","29","1782","192","sold"
"1987","BMW","325is 5-Speed","252000","Silver","manual","19750","19750","2022-07-21 04:00:00","42","900","33","sold"
"2020","BMW","M2 CS","4800","Black","automatic","92500","92500","2022-07-21 04:00:00","8","752","47","sold"
"1995","BMW","M3 Coupe 5-Speed","13000","White","manual","66666","66666","2022-07-21 04:00:00","22","790","185","sold"
"1985","BMW","325e 5-Speed","158000","Beige","manual","null","9100","2022-07-21 04:00:00","43","546","57","unsold"
"2001","BMW","M3 Coupe 6-Speed","32000","Blue","manual","86000","86000","2022-07-21 04:00:00","31","1065","206","sold"
"1995","BMW","M3 Coupe 5-Speed","161000","Blue","manual","11500","11500","2022-07-21 04:00:00","23","587","55","sold"
"2001","BMW","M Roadster S54","47000","Black","manual","null","30000","2022-07-20 04:00:00","32","539","38","unsold"
"2002","BMW","Z8","8900","Silver","manual","null","208000","2022-07-20 04:00:00","29","900","83","unsold"
"2013","BMW","M5 6-Speed","39000","Blue","manual","null","46750","2022-07-20 04:00:00","25","924","42","unsold"
"2006","BMW","M5","55000","Silver","automatic","22500","22500","2022-07-20 04:00:00","33","484","30","sold"
"1998","BMW","M3 Coupe 5-Speed","54000","Blue","manual","33500","33500","2022-07-20 04:00:00","22","793","54","sold"
"2012","BMW","328i Sports Wagon","85000","Blue","automatic","18750","18750","2022-07-19 04:00:00","31","599","27","sold"
"1973","BMW","520 4-Speed","35000","White","manual","21000","21000","2022-07-19 04:00:00","44","479","47","sold"
"1993","BMW","850Ci","47000","Red","automatic","35000","35000","2022-07-19 04:00:00","25","699","45","sold"
"2013","BMW","M3 Coupe Competition Package","54000","Blue","automatic","40000","40000","2022-07-19 04:00:00","10","461","25","sold"
"1998","BMW","Z3 1.9 5-Speed","89000","Green","manual","8900","8900","2022-07-19 04:00:00","28","383","114","sold"
"2006","BMW","330Ci Convertible","50000","Black","automatic","18250","18250","2022-07-19 04:00:00","19","532","36","sold"
"1989","BMW","M3","80000","White","manual","91000","91000","2022-07-19 04:00:00","35","995","48","sold"
"2005","BMW","330i ZHP 6-Speed","86000","Blue","manual","16250","16250","2022-07-19 04:00:00","10","565","31","sold"
"1976","BMW","R90/6","89000","Black","manual","5900","5900","2022-07-19 04:00:00","24","450","9","sold"
"2003","BMW","M5","131000","Gray","manual","20750","20750","2022-07-19 04:00:00","27","762","78","sold"
"1997","BMW","M3 Sedan 5-Speed","147000","Silver","manual","19250","19250","2022-07-19 04:00:00","23","671","37","sold"
"2005","BMW","Z4 3.0i Roadster","56000","Red","automatic","17750","17750","2022-07-18 04:00:00","12","388","29","sold"
"2004","BMW","M3 Convertible","46000","Black","automatic","25250","25250","2022-07-18 04:00:00","3","548","15","sold"
"1994","BMW","M3 Coupe 5-Speed","86000","Black","manual","null","28500","2022-07-18 04:00:00","19","468","33","unsold"
"1986","BMW","535i 5-Speed","168000","Blue","manual","13755","13755","2022-07-18 04:00:00","56","784","96","sold"
"1988","BMW","325i Convertible","80000","Blue","automatic","null","11500","2022-07-18 04:00:00","4","362","16","unsold"
"1977","BMW","530i 5-Speed","0","Silver","manual","null","22780","2022-07-18 04:00:00","20","628","79","unsold"
"1999","BMW","Z3 Coupe 2.8 5-Speed","59000","Black","manual","20500","20500","2022-07-17 04:00:00","47","765","30","sold"
"1965","BMW","1800Ti","28000","Gray","manual","null","41000","2022-07-17 04:00:00","32","760","122","unsold"
"2003","BMW","M3 Coupe 6-Speed","65000","Silver","manual","29000","29000","2022-07-16 04:00:00","41","617","50","sold"
"2002","BMW","Z3 2.5i 5-Speed","71000","Brown","manual","25000","25000","2022-07-16 04:00:00","23","416","65","sold"
"2008","BMW","Z4 3.0i Roadster","14000","Gray","automatic","null","16200","2022-07-16 04:00:00","15","230","17","unsold"
"2004","BMW","330Ci Convertible","21000","White","automatic","23250","23250","2022-07-16 04:00:00","39","500","34","sold"
"2018","BMW","M3 CS","17000","Black","automatic","73000","73000","2022-07-16 04:00:00","23","588","32","sold"
"2002","BMW","M5","96000","Black","manual","35000","35000","2022-07-16 04:00:00","20","719","34","sold"
"2021","BMW","M5 Competition Package","6000","Gray","automatic","null","101000","2022-07-16 04:00:00","24","547","36","unsold"
"2011","BMW","M3 Sedan Competition Package 6-Speed","27000","Blue","manual","55000","55000","2022-07-16 04:00:00","10","667","58","sold"
"1974","BMW","2002tii 5-Speed","636","Blue","manual","28000","28000","2022-07-16 04:00:00","40","973","58","sold"
"2004","BMW","M3 Convertible","19000","Black","automatic","30000","30000","2022-07-15 04:00:00","3","353","15","sold"
"1990","BMW","318i Touring 5-Speed","3000","White","manual","23250","23250","2022-07-15 04:00:00","25","910","41","sold"
"2002","BMW","540i Sport","104000","Silver","automatic","8800","8800","2022-07-15 04:00:00","12","394","19","sold"
"2000","BMW","M Roadster","59000","Blue","manual","22750","22750","2022-07-15 04:00:00","37","575","26","sold"
"2004","BMW","M3 Coupe","78000","Red","automatic","null","24596","2022-07-15 04:00:00","14","502","21","unsold"
"1999","BMW","M Coupe","24000","Blue","manual","37000","37000","2022-07-15 04:00:00","24","696","45","sold"
"1974","BMW","3.0CS 4-Speed","42000","Blue","manual","55000","55000","2022-07-15 04:00:00","34","1106","46","sold"
"1991","BMW","325i Convertible 5-Speed","164000","Red","manual","15000","15000","2022-07-14 04:00:00","33","602","59","sold"
"1973","BMW","R75/5","34000","Red","manual","11500","11500","2022-07-14 04:00:00","47","627","57","sold"
"2003","BMW","Z4 2.5i Roadster SMG","10000","Gray","automatic","17500","17500","2022-07-14 04:00:00","33","596","75","sold"
"2001","BMW","330Ci Coupe Sport","39000","Silver","automatic","10050","10050","2022-07-14 04:00:00","19","271","20","sold"
"2004","BMW","M3 Coupe 6-Speed","43000","Blue","manual","37500","37500","2022-07-14 04:00:00","12","824","79","sold"
"2001","BMW","M5","75000","Black","manual","38000","38000","2022-07-14 04:00:00","21","624","76","sold"
"2008","BMW","328i Convertible","32000","Bronze","automatic","null","18000","2022-07-14 04:00:00","36","384","21","unsold"
"2007","BMW","650i Convertible 6-Speed","35000","Silver","manual","25500","25500","2022-07-14 04:00:00","49","509","29","sold"
"1988","BMW","735i","109000","Beige","automatic","8500","8500","2022-07-14 04:00:00","37","387","64","sold"
"2013","BMW","M5 6-Speed","59000","Gray","manual","48001","48001","2022-07-13 04:00:00","32","773","43","sold"
"2007","BMW","M5","47000","Black","automatic","21888","21888","2022-07-13 04:00:00","25","417","36","sold"
"2002","BMW","325Ci Convertible","12000","Red","automatic","19000","19000","2022-07-13 04:00:00","17","330","37","sold"
"2003","BMW","M3 Coupe 6-Speed","80000","Silver","manual","null","26500","2022-07-13 04:00:00","21","644","25","unsold"
"2001","BMW","M Roadster S54","7000","Black","manual","38000","38000","2022-07-13 04:00:00","10","451","32","sold"
"2013","BMW","M3 Lime Rock Park Edition 6-Speed","19000","Orange","manual","125000","125000","2022-07-13 04:00:00","21","865","108","sold"
"2017","BMW","M3 Competition Package","15000","Gray","automatic","73500","73500","2022-07-12 04:00:00","38","516","48","sold"
"1995","BMW","M3 Coupe 5-Speed","39000","Black","manual","18250","18250","2022-06-28 04:00:00","32","579","28","sold"
"2003","BMW","Alpina Roadster V8","26000","Black","automatic","260000","260000","2022-06-28 04:00:00","30","1160","38","sold"
"1999","BMW","Z3 2.3 5-Speed","10000","Silver","manual","null","18500","2022-06-27 04:00:00","5","359","31","unsold"
"1989","BMW","635CSi 5-Speed","141000","White","manual","14000","14000","2022-06-27 04:00:00","17","740","60","sold"
"2006","BMW","M3 Coupe 6-Speed","57000","Black","manual","32750","32750","2022-06-27 04:00:00","20","647","32","sold"
"2011","BMW","M3 Sedan Competition Package 6-Speed","92000","Black","manual","37500","37500","2022-06-27 04:00:00","34","771","41","sold"
"2001","BMW","M Roadster","55000","Red","manual","36000","36000","2022-06-27 04:00:00","28","576","88","sold"
"1988","BMW","M5","228000","Black","manual","45000","45000","2022-06-27 04:00:00","40","841","83","sold"
"2002","BMW","330Ci Convertible","43000","Blue","automatic","23500","23500","2022-06-27 04:00:00","32","570","23","sold"
"2011","BMW","M3 Coupe","53000","White","automatic","37250","37250","2022-06-27 04:00:00","25","653","21","sold"
"2011","BMW","1M","43000","White","manual","73600","73600","2022-06-26 04:00:00","31","1067","51","sold"
"2005","BMW","M3 Convertible","48000","Black","automatic","24777","24777","2022-06-26 04:00:00","21","582","28","sold"
"1987","BMW","M3","111000","White","manual","65500","65500","2022-06-26 04:00:00","8","921","48","sold"
"2001","BMW","740i Sport","79000","White","automatic","22750","22750","2022-06-26 04:00:00","31","531","43","sold"
"1989","BMW","325i Convertible","101000","White","automatic","13750","13750","2022-06-26 04:00:00","48","463","36","sold"
"2011","BMW","1M","52000","Black","manual","61500","61500","2022-07-11 04:00:00","17","656","45","sold"
"2002","BMW","Z3 Coupe 3.0i 5-Speed","45000","Green","manual","34250","34250","2022-07-11 04:00:00","23","576","73","sold"
"1975","BMW","2002 4-Speed","37000","Beige","manual","30250","30250","2022-07-11 04:00:00","54","821","87","sold"
"1967","BMW","2000CS","71000","Beige","manual","35250","35250","2022-07-11 04:00:00","22","650","77","sold"
"1986","BMW","M535i 5-Speed","104000","Black","manual","null","25000","2022-07-11 04:00:00","19","713","71","unsold"
"1991","BMW","325i Convertible","130000","White","automatic","15500","15500","2022-07-11 04:00:00","10","424","37","sold"
"2011","BMW","1M","11000","White","manual","75500","75500","2022-07-10 04:00:00","24","780","49","sold"
"2006","BMW","M3 Convertible 6-Speed","67000","Black","manual","27500","27500","2022-07-10 04:00:00","30","532","39","sold"
"2008","BMW","M3 Sedan 6-Speed","75000","Black","manual","27250","27250","2022-07-10 04:00:00","21","650","46","sold"
"1991","BMW","850i 6-Speed","7000","Black","manual","67500","67500","2022-07-10 04:00:00","30","797","42","sold"
"1979","BMW","520i 3.9L 5-Speed","89000","Beige","manual","null","29520","2022-07-10 04:00:00","17","512","91","unsold"
"2003","BMW","540i M Sport 6-Speed","103000","Green","manual","15600","15600","2022-07-10 04:00:00","32","950","74","sold"
"1988","BMW","528e","83000","Blue","automatic","29000","29000","2022-07-09 04:00:00","48","370","45","sold"
"2006","BMW","325Ci Convertible","87000","White","automatic","14000","14000","2022-07-09 04:00:00","21","366","33","sold"
"1993","BMW","R100GS PD","47000","Green","manual","6969","6969","2022-07-09 04:00:00","5","413","17","sold"
"1999","BMW","M3 Coupe 5-Speed","141000","Blue","manual","null","9800","2022-07-09 04:00:00","13","621","37","unsold"
"2000","BMW","Z3 2.5i 5-Speed","46000","White","manual","15750","15750","2022-07-09 04:00:00","16","363","48","sold"
"2002","BMW","M3 Convertible 6-Speed","68000","Black","manual","null","23751","2022-07-09 04:00:00","12","294","32","unsold"
"2015","BMW","328i xDrive Sports Wagon","38000","Blue","automatic","27250","27250","2022-07-09 04:00:00","23","405","40","sold"
"2008","BMW","Z4 3.0si Roadster 6-Speed","63000","Gray","manual","20500","20500","2022-07-09 04:00:00","22","478","16","sold"
"2006","BMW","M6 Coupe Dinan S3","15000","Bronze","automatic","52000","52000","2022-07-09 04:00:00","48","366","48","sold"
"2012","BMW","M3 Coupe Competition Package","55000","Black","automatic","37000","37000","2022-07-09 04:00:00","15","435","26","sold"
"1975","BMW","R90S","70","Orange","manual","null","34898","2022-07-09 04:00:00","21","578","38","unsold"
"2001","BMW","M3 Coupe 6-Speed Track Car","104000","Gray","manual","30655","30655","2022-07-09 04:00:00","15","720","39","sold"
"2010","BMW","M6 Coupe 6-Speed","24000","Black","manual","60500","60500","2022-07-08 04:00:00","51","488","62","sold"
"2005","BMW","M3 Convertible 6-Speed","71000","Black","manual","25000","25000","2022-07-08 04:00:00","27","919","34","sold"
"2000","BMW","540i Sport 6-Speed","103000","Blue","manual","null","10300","2022-07-08 04:00:00","18","407","37","unsold"
"1988","BMW","320i Touring 6-Speed","45000","Red","manual","61000","61000","2022-07-08 04:00:00","34","1109","150","sold"
"2000","BMW","M5","150000","Red","manual","15500","15500","2022-07-08 04:00:00","7","721","78","sold"
"1992","BMW","325i Convertible 5-Speed","116000","White","manual","null","14750","2022-07-07 04:00:00","32","606","55","unsold"
"1987","BMW","325is 5-Speed","164000","White","manual","17500","17500","2022-07-07 04:00:00","51","758","63","sold"
"2003","BMW","M5","52000","Silver","manual","null","39500","2022-07-07 04:00:00","14","609","63","unsold"
"1998","BMW","528i","73000","Green","automatic","7900","7900","2022-07-07 04:00:00","24","329","44","sold"
"2001","BMW","330Ci Convertible","800","Gray","automatic","null","30585","2022-07-07 04:00:00","24","667","125","unsold"
"2006","BMW","M3 Coupe Competition Package 6-Speed","36000","Blue","manual","86000","86000","2022-07-07 04:00:00","8","722","88","sold"
"2001","BMW","Z8","22000","Red","manual","195000","195000","2022-07-06 04:00:00","33","831","74","sold"
"2001","BMW","325Ci Convertible","65000","Silver","automatic","9975","9975","2022-07-06 04:00:00","14","294","25","sold"
"2002","BMW","M3 Coupe 6-Speed","97000","Silver","manual","16250","16250","2022-07-06 04:00:00","11","754","49","sold"
"1999","BMW","M3 Coupe 5-Speed","102000","Black","manual","24750","24750","2022-07-06 04:00:00","28","679","39","sold"
"1976","BMW","2002 5-Speed","15000","Blue","manual","null","17250","2022-07-06 04:00:00","45","931","82","unsold"
"2011","BMW","M3 Sedan Competition Package 6-Speed","16000","Black","manual","60500","60500","2022-07-06 04:00:00","6","646","65","sold"
"1988","BMW","M6","111000","Red","manual","null","25850","2022-07-05 04:00:00","11","823","63","unsold"
"1999","BMW","M Roadster","18000","Blue","manual","29750","29750","2022-07-05 04:00:00","27","651","61","sold"
"1987","BMW","325 5-Speed","8000","Silver","manual","11500","11500","2022-07-05 04:00:00","28","601","29","sold"
"2017","BMW","M3 30 Jahre Edition 6-Speed","19000","Blue","manual","64000","64000","2022-07-05 04:00:00","39","619","53","sold"
"1973","BMW","2002tii","82000","Gray","manual","null","38500","2022-07-05 04:00:00","43","1491","97","unsold"
"2000","BMW","750iL","68000","Black","automatic","16000","16000","2022-07-05 04:00:00","35","549","40","sold"
"1985","BMW","635CSi 5-Speed","73000","Beige","manual","21000","21000","2022-07-05 04:00:00","16","883","58","sold"
"2006","BMW","330Ci Convertible","58000","Black","automatic","21750","21750","2022-07-05 04:00:00","19","451","36","sold"
"2013","BMW","M3 Coupe Competition Package","53000","White","automatic","39250","39250","2022-07-05 04:00:00","25","597","18","sold"
"1958","BMW","Isetta 600 Project","27000","Yellow","manual","19750","19750","2022-07-05 04:00:00","27","606","33","sold"
"2008","BMW","M3 Convertible","36000","Gray","automatic","31000","31000","2022-07-03 04:00:00","26","561","22","sold"
"1988","BMW","M3","198000","Red","manual","60500","60500","2022-07-03 04:00:00","13","942","67","sold"
"1986","BMW","325e 5-Speed","226000","Blue","manual","19500","19500","2022-07-03 04:00:00","29","588","37","sold"
"2011","BMW","1M","20000","Orange","manual","null","75000","2022-07-03 04:00:00","19","973","86","unsold"
"1996","BMW","Z3 1.9 5-Speed","59000","Blue","manual","13000","13000","2022-07-03 04:00:00","33","524","60","sold"
"2002","BMW","2002 Projects","21000","Silver","manual","18888","18888","2022-07-03 04:00:00","28","1408","249","sold"
"2004","BMW","M3 Convertible","24000","Black","automatic","null","29000","2022-07-02 04:00:00","16","440","15","unsold"
"2010","BMW","650i Convertible 6-Speed","42000","Gray","manual","null","24000","2022-07-02 04:00:00","28","500","59","unsold"
"2002","BMW","Z3 2.5i","19000","Red","automatic","16500","16500","2022-07-02 04:00:00","26","468","31","sold"
"2002","BMW","Z8","52000","Silver","manual","151000","151000","2022-07-02 04:00:00","16","727","33","sold"
"1995","BMW","R100GS PD","19000","Red","manual","15000","15000","2022-07-02 04:00:00","25","489","40","sold"
"1973","BMW","Bavaria 4-Speed","48000","Green","manual","61093","61093","2022-07-01 04:00:00","48","789","167","sold"
"2007","BMW","M6 Coupe 6-Speed","78000","Black","manual","null","26250","2022-07-01 04:00:00","36","516","41","unsold"
"1990","BMW","325i Sedan 5-Speed","127000","Bronze","manual","16325","16325","2022-07-01 04:00:00","7","545","55","sold"
"1988","BMW","325is 5-Speed","211000","Red","manual","22500","22500","2022-06-30 04:00:00","18","794","55","sold"
"2007","BMW","Z4 M Coupe","67000","Gray","manual","30000","30000","2022-06-30 04:00:00","28","736","58","sold"
"2003","BMW","M5","57000","Silver","manual","45000","45000","2022-06-30 04:00:00","20","735","56","sold"
"2010","BMW","650i Convertible","53000","Black","automatic","22000","22000","2022-06-30 04:00:00","52","659","33","sold"
"2005","BMW","M3 Coupe 6-Speed","24000","Black","manual","null","41000","2022-06-30 04:00:00","14","603","34","unsold"
"1973","BMW","3.0CS","99000","Silver","manual","null","80000","2022-06-30 04:00:00","21","1514","77","unsold"
"2006","BMW","325Ci Convertible","56000","White","automatic","19500","19500","2022-06-29 04:00:00","36","434","26","sold"
"1973","BMW","3.0CS","71000","White","automatic","65500","65500","2022-06-29 04:00:00","71","1033","63","sold"
"2000","BMW","Z8","12000","Silver","manual","null","177010","2022-06-29 04:00:00","36","955","48","unsold"
"2005","BMW","325xi","81000","Black","automatic","12750","12750","2022-06-29 04:00:00","44","283","13","sold"
"2004","BMW","M3 Dinan S2 Coupe 6-Speed","80000","Black","manual","null","29250","2022-06-29 04:00:00","19","785","38","unsold"
"1999","BMW","Z3 Coupe 2.8 5-Speed","49000","Silver","manual","25000","25000","2022-06-28 04:00:00","33","510","37","sold"
"2000","BMW","M Roadster","56000","Blue","manual","null","14750","2022-06-28 04:00:00","16","566","30","unsold"
"1988","BMW","M3","163000","Black","manual","61000","61000","2022-06-28 04:00:00","15","612","41","sold"
"1988","BMW","M6","172000","Blue","manual","27000","27000","2022-06-28 04:00:00","29","797","73","sold"
"1996","BMW","Z3 1.9 5-Speed","15000","Silver","manual","null","15000","2022-06-16 04:00:00","31","409","46","unsold"
"2008","BMW","M3 Sedan 6-Speed","85000","Black","manual","36750","36750","2022-06-15 04:00:00","38","602","50","sold"
"1987","BMW","325i Convertible 5-Speed","157000","Blue","manual","13500","13500","2022-06-15 04:00:00","47","581","26","sold"
"2014","BMW","M5 Competition Package 6-Speed","56000","Black","manual","54500","54500","2022-06-15 04:00:00","21","516","43","sold"
"1976","BMW","R90/6 Project","49000","Black","manual","3651","3651","2022-06-15 04:00:00","21","470","23","sold"
"2001","BMW","M3 Convertible 6-Speed","83000","Gray","manual","20350","20350","2022-06-15 04:00:00","16","621","37","sold"
"1998","BMW","M3 Coupe 5-Speed","88000","Green","manual","48000","48000","2022-06-15 04:00:00","16","757","105","sold"
"1972","BMW","3.0CSi 5-Speed","32000","Silver","manual","null","101000","2022-06-15 04:00:00","25","1502","99","unsold"
"1998","BMW","M3 Sedan 5-Speed","43000","Silver","manual","30000","30000","2022-06-14 04:00:00","8","513","34","sold"
"1986","BMW","528e 5-Speed","93000","Burgundy","manual","14750","14750","2022-06-14 04:00:00","68","514","53","sold"
"2006","BMW","M5","81000","Gray","automatic","null","19500","2022-06-14 04:00:00","3","263","26","unsold"
"1988","BMW","325i Convertible","52000","Beige","automatic","9800","9800","2022-06-14 04:00:00","52","455","21","sold"
"2009","BMW","M3 Coupe","80000","Gray","automatic","30250","30250","2022-06-14 04:00:00","39","490","35","sold"
"2008","BMW","328i Sedan 6-Speed","80000","Black","manual","null","12000","2022-06-14 04:00:00","13","244","35","unsold"
"2008","BMW","M3 Convertible 6-Speed","58000","White","manual","28250","28250","2022-06-26 04:00:00","41","526","14","sold"
"2003","BMW","540i M Sport Dinan S2","86000","Gray","automatic","null","16500","2022-06-26 04:00:00","28","601","54","unsold"
"1971","Porsche","911E Targa","81000","Red","manual","57000","57000","2023-11-17 05:00:00","54","1077","59","sold"
"1991","BMW","324td Touring 5-Speed","152000","Red","manual","21750","21750","2022-06-25 04:00:00","54","920","58","sold"
"2008","BMW","M5","31000","Silver","automatic","35000","35000","2022-06-25 04:00:00","45","576","106","sold"
"2011","BMW","135i Coupe","73000","Black","automatic","14250","14250","2022-06-25 04:00:00","33","406","20","sold"
"2001","BMW","540i Sport 6-Speed","100000","Gray","manual","14000","14000","2022-06-25 04:00:00","14","476","42","sold"
"2004","BMW","M3 Convertible","12000","Red","automatic","null","35900","2022-06-25 04:00:00","20","634","41","unsold"
"2001","BMW","M5","28000","Black","manual","null","42250","2022-06-25 04:00:00","15","894","71","unsold"
"1997","BMW","M3 Coupe 5-Speed","169000","Purple","manual","22750","22750","2022-06-25 04:00:00","25","613","52","sold"
"1979","BMW","R100RS","41000","Blue","manual","5000","5000","2022-06-25 04:00:00","9","394","25","sold"
"2001","BMW","Z8","48000","Silver","manual","143000","143000","2022-06-25 04:00:00","28","746","50","sold"
"1987","BMW","535is 5-Speed","74000","Silver","manual","51000","51000","2022-06-24 04:00:00","42","812","123","sold"
"1999","BMW","M3 Convertible 5-Speed","81000","Black","manual","13750","13750","2022-06-24 04:00:00","24","456","33","sold"
"2005","BMW","745Li","27000","Black","automatic","14100","14100","2022-06-24 04:00:00","15","317","55","sold"
"1994","BMW","530i 5-Speed","145000","Green","manual","8500","8500","2022-06-24 04:00:00","27","426","37","sold"
"2006","BMW","M3 Convertible 6-Speed","71000","Black","manual","null","19500","2022-06-24 04:00:00","23","528","25","unsold"
"1986","BMW","325es 5-Speed","132000","Gray","manual","15000","15000","2022-06-24 04:00:00","43","706","35","sold"
